"LRTLat","LRTLon"
"34.22942",-119.19457
"34.22942",-119.19457
"39.387354",-123.34971
"33.784813",-118.346978
"33.784813",-118.346978
"35.393611",-119.0525
"NA",NA
"35.393611",-119.0525
"35.393611",-119.0525
"35.393611",-119.0525
"37.59109",-122.01042
"37.59109",-122.01042
"37.59109",-122.01042
"33.958207",-118.182435
"34.015316",-118.227965
"38.030007",-121.877625
"38.225239",-121.976742
"NA",NA
"38.225239",-121.976742
"33.71345",-117.99572
"38.574833",-121.26023
"34.304967",-119.293629
"39.075341",-121.385645
"38.59067",-121.68486
"38.59067",-121.68486
"38.59067",-121.68486
"37.503419",-122.210555
"37.503419",-122.210555
"38.15676",-122.56861
"NA",NA
"38.15676",-122.56861
"38.15676",-122.56861
"34.42559",-118.63773
"33.95785",-118.37533
"33.95785",-118.37533
"33.875704",-116.991961
"37.47461",-122.12714
"37.47461",-122.12714
"34.006426",-118.096322
"38.515106",-121.194519
"38.515106",-121.194519
"38.515106",-121.194519
"38.005564",-122.088268
"34.058486",-117.484385
"33.03731",-115.709665
"33.03731",-115.709665
"33.03731",-115.709665
"36.58887",-119.44679
"36.58887",-119.44679
"32.55568",-116.93199
"34.144246",-117.435998
"34.047686",-117.343811
"37.703451",-122.167995
"34.132197",-118.002133
"34.04569",-117.21736
"34.04569",-117.21736
"38.497607",-121.453868
"34.430526",-118.443217
"34.844091",-117.016563
"34.151846",-118.197784
"34.151846",-118.197784
"34.151846",-118.197784
"33.75821",-118.240788
"33.75821",-118.240788
"35.511089",-119.407087
"NA",NA
"37.425289",-122.083817
"34.28581",-118.791555
"NA",NA
"34.28581",-118.791555
"34.10792",-118.02626
"38.27333",-121.9636
"33.141165",-117.192551
"33.836869",-118.313827
"34.038555",-117.8237
"NA",NA
"34.038555",-117.8237
"34.02486",-118.03253
"34.02486",-118.03253
"33.953134",-118.06509
"33.918638",-118.273872
"34.027766",-117.456388
"33.696883",-117.820991
"33.696883",-117.820991
"34.32423",-118.50343
"NA",NA
"34.32423",-118.50343
"32.862911",-117.027864
"32.862911",-117.027864
"34.81844",-118.7497
"34.81844",-118.7497
"35.202965",-119.445641
"36.0195",-119.1032
"NA",NA
"37.8311",-122.29043
"40.12167",-122.21542
"NA",NA
"40.12167",-122.21542
"34.405411",-118.996373
"NA",NA
"34.04718",-118.318163
"37.634075",-122.397125
"37.634075",-122.397125
"NA",NA
"33.994077",-118.21291
"33.994077",-118.21291
"38.102256",-122.25658
"38.102256",-122.25658
"34.168707",-118.835446
"37.7531",-121.7229
"NA",NA
"37.7531",-121.7229
"34.12158",-117.93657
"34.12158",-117.93657
"36.38797",-119.39476
"NA",NA
"34.219469",-119.225917
"34.003118",-117.68695
"37.496172",-121.986499
"37.496172",-121.986499
"33.869511",-118.282788
"33.743615",-116.357416
"33.72343",-117.850505
"33.72343",-117.850505
"37.795778",-121.260639
"37.795778",-121.260639
"34.106587",-117.971113
"40.501346",-122.447192
"NA",NA
"40.501346",-122.447192
"37.966449",-122.3918
"37.966449",-122.3918
"32.83666",-117.152262
"NA",NA
"NA",NA
"32.83666",-117.152262
"32.83666",-117.152262
"34.114216",-117.920862
"36.71325",-119.76369
"33.835474",-118.236161
"35.20039",-119.558296
"36.1491",-119.2289
"NA",NA
"NA",NA
"39.79613",-104.99402
"NA",NA
"40.11239",-104.5212
"37.156819",-107.052511
"37.156819",-107.052511
"1_8,-,39.5206340-105.044959,1442,212321,OMIN,08,-,B,",NA
"39.520634",-105.044959
"39.520634",-105.044959
"37.10701",-107.65192
"40.076996",-104.942346
"40.076996",-104.942346
"39.79677",-104.92316
"39.79677",-104.92316
"39.79677",-104.92316
"39.79677",-104.92316
"39.850376",-105.228386
"38.67942",-104.62822
"39.86003",-104.88229
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"38.679516",-104.628161
"38.13498",-104.495183
"40.34863",-104.80313
"NA",NA
"40.34863",-104.80313
"40.34863",-104.80313
"40.34863",-104.80313
"40.34863",-104.80313
"38.660135",-106.087553
"39.644878",-104.594002
"38.640259",-104.710785
"40.16077",-105.01734
"40.16077",-105.01734
"39.739957",-103.707798
"39.739957",-103.707798
"39.739957",-103.707798
"39.739957",-103.707798
"38.803158",-104.800674
"38.803158",-104.800674
"38.32225",-104.61265
"38.32225",-104.61265
"38.32225",-104.61265
"38.540396",-104.700546
"38.552056",-104.648094
"38.844429",-104.580688
"38.844429",-104.580688
"NA",NA
"38.628464",-104.69622
"39.85419",-104.50072
"39.85419",-104.50072
"39.85419",-104.50072
"39.85419",-104.50072
"39.745785",-104.600159
"38.08413",-105.416687
"38.085908",-105.424084
"38.74035",-108.07212
"38.74035",-108.07212
"38.74035",-108.07212
"38.74035",-108.07212
"39.66813",-104.8148
"39.64728",-104.71625
"NA",NA
"39.64728",-104.71625
"40.029304",-105.02557
"40.029304",-105.02557
"NA",NA
"NA",NA
"39.79677",-104.923264
"39.727806",-106.661942
"NA",NA
"NA",NA
"NA",NA
"39.859268",-105.234093
"40.026864",-105.018265
"39.794522",-104.978265
"39.794522",-104.978265
"39.515495",-107.911118
"NA",NA
"40.118258",-105.981986
"NA",NA
"38.5198",-106.8261
"38.5198",-106.8261
"NA",NA
"40.37746",-104.614058
"39.7971",-104.93589
"NA",NA
"39.328037",-102.322052
"NA",NA
"39.21785",-106.356354
"39.21785",-106.356354
"NA",NA
"40.49682",-105.11552
"NA",NA
"40.49682",-105.11552
